Balance,RiskBudget,MeanDistortion,MedianDistortion,MaxDistortion,MinDistortion,PctTradesDistorted,MeanActualRiskPct,MaxActualRiskPct,MarginPassPct,Executable
72,0.36,35.83876811594205,30.786111111111342,95.76944444444406,7.991666666667799,100.0,17.919384057971026,47.88472222222203,100.0,True
73,0.365,35.34782608695654,30.364383561644065,94.45753424657497,7.8821917808230335,100.0,17.67391304347827,47.22876712328748,100.0,True
74,0.37,34.87015276145713,29.95405405405428,93.1810810810807,7.775675675676777,100.0,17.435076380728564,46.59054054054035,100.0,True
75,0.375,34.40521739130437,29.55466666666689,91.93866666666631,7.672000000001086,100.0,17.202608695652184,45.969333333333154,100.0,True
76,0.38,33.95251716247142,29.165789473684427,90.72894736842069,7.571052631580019,100.0,16.97625858123571,45.364473684210346,100.0,True
77,0.385,33.511575381140624,28.787012987013206,89.550649350649,7.472727272728331,100.0,16.755787690570312,44.7753246753245,100.0,True
78,0.39,33.081939799331124,28.41794871794893,88.40256410256376,7.376923076924122,100.0,16.540969899665562,44.20128205128188,100.0,True
79,0.395,32.663181067694026,28.05822784810148,87.28354430379713,7.2835443037985,100.0,16.331590533847013,43.641772151898564,100.0,True
80,0.4,32.25489130434785,27.707500000000206,86.19249999999965,7.192500000001019,100.0,16.127445652173925,43.09624999999983,100.0,True
81,0.405,31.856682769726266,27.36543209876564,85.12839506172806,7.10370370370471,100.0,15.928341384863133,42.56419753086403,100.0,True
82,0.41000000000000003,31.468186638388143,27.031707317073373,84.09024390243869,7.017073170732702,100.0,15.734093319194072,42.04512195121934,100.0,True
83,0.41500000000000004,31.089051859612386,26.706024096385743,83.07710843373461,6.932530120482909,100.0,15.544525929806193,41.538554216867304,100.0,True
84,0.42,30.718944099378902,26.38809523809544,82.08809523809491,6.85000000000097,100.0,15.359472049689451,41.044047619047454,100.0,True
85,0.425,30.357544757033267,26.07764705882373,81.12235294117615,6.769411764706841,100.0,15.178772378516634,40.56117647058807,100.0,True
86,0.43,30.00455005055614,25.774418604651355,80.17906976744153,6.690697674419551,100.0,15.00227502527807,40.089534883720766,100.0,True
87,0.435,29.65967016491756,25.47816091954042,79.2574712643675,6.613793103449213,100.0,14.82983508245878,39.62873563218375,100.0,True
88,0.44,29.32262845849804,25.18863636363655,78.35681818181787,6.53863636363729,100.0,14.66131422924902,39.178409090908936,100.0,True
89,0.445,28.9931607230093,24.905617977528276,77.47640449438171,6.465168539326759,100.0,14.49658036150465,38.738202247190856,100.0,True
90,0.45,28.671014492753642,24.628888888889076,76.61555555555525,6.393333333334239,100.0,14.335507246376821,38.30777777777762,100.0,True
91,0.455,28.355948399426676,24.35824175824194,75.77362637362607,6.323076923077818,100.0,14.177974199713338,37.886813186813036,100.0,True
92,0.46,28.04773156899813,24.093478260869748,74.94999999999969,6.254347826087843,100.0,14.023865784499066,37.474999999999845,100.0,True
93,0.465,27.746143057503524,23.834408602150717,74.14408602150509,6.1870967741944245,100.0,13.873071528751762,37.072043010752544,100.0,True
94,0.47000000000000003,27.45097132284923,23.580851063829968,73.35531914893588,6.121276595745548,100.0,13.725485661424615,36.67765957446794,100.0,True
95,0.47500000000000003,27.162013729977136,23.332631578947545,72.58315789473654,6.056842105264016,100.0,13.581006864988568,36.29157894736827,100.0,True
96,0.48,26.87907608695654,23.089583333333508,71.82708333333304,5.9937500000008495,100.0,13.43953804347827,35.91354166666652,100.0,True
97,0.485,26.601972209771418,22.85154639175275,71.08659793814405,5.931958762887438,100.0,13.300986104885709,35.543298969072026,100.0,True
98,0.49,26.33052351375335,22.618367346938946,70.36122448979563,5.871428571429403,100.0,13.165261756876674,35.180612244897816,100.0,True
99,0.495,26.06455862977604,22.38989898989916,69.65050505050478,5.812121212122035,100.0,13.03227931488802,34.82525252525239,100.0,True
100,0.5,25.80391304347828,22.166000000000167,68.95399999999972,5.754000000000815,100.0,12.90195652173914,34.47699999999986,100.0,True
110,0.55,23.458102766798433,20.150909090909245,62.68545454545429,5.230909090909832,100.0,11.729051383399216,31.342727272727146,100.0,True
120,0.6,21.50326086956523,18.471666666666806,57.46166666666643,4.795000000000679,100.0,10.751630434782616,28.730833333333216,100.0,True
130,0.65,19.849163879598677,17.050769230769358,53.04153846153825,4.426153846154473,100.0,9.924581939799339,26.520769230769126,100.0,True
140,0.7000000000000001,18.43136645962734,15.832857142857263,49.25285714285694,4.110000000000582,100.0,9.21568322981367,24.62642857142847,100.0,True
150,0.75,17.202608695652184,14.777333333333445,45.969333333333154,3.836000000000543,100.0,8.601304347826092,22.984666666666577,100.0,True
160,0.8,16.127445652173925,13.853750000000103,43.09624999999983,3.5962500000005093,100.0,8.063722826086963,21.548124999999914,100.0,True
170,0.85,15.178772378516634,13.038823529411864,40.56117647058807,3.3847058823534204,100.0,7.589386189258317,20.280588235294037,100.0,True
180,0.9,14.335507246376821,12.314444444444538,38.30777777777762,3.1966666666671193,100.0,7.1677536231884105,19.15388888888881,100.0,True
190,0.9500000000000001,13.581006864988568,11.666315789473773,36.29157894736827,3.028421052632008,100.0,6.790503432494284,18.145789473684136,100.0,True
